,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
107,14.1,12.1,11.9,35.4,18.9,24.2,15.5,31.2,25.2,27.3,41.7,50.6,19,25,37.4,28.2,26.4,34.3
108,16.5,14.5,13.9,37,19.8,28.6,18.7,39.1,30.7,33.6,53.1,70.7,22.3,30,50.8,35.4,36.9,44.6
109,15.6,13.6,13.1,36.4,19.5,26.9,17.4,36,28.5,31.1,48.5,62.5,21,28,45.4,32.5,32.6,40.4
110,13.6,11.6,11.4,35.1,18.7,23.3,14.8,29.5,24,26,39.4,46.7,18.3,24,34.8,26.8,24.4,32.2
111,15.6,13.7,13.2,36.4,19.5,27,17.5,36.3,28.7,31.3,48.9,63.2,21.2,28.2,45.8,32.8,33,40.8
112,15,13.1,12.6,36.1,19.3,25.9,16.7,34.3,27.3,29.7,46.1,58.1,20.3,27,42.4,31,30.3,38.2
113,15.5,13.5,13,36.3,19.4,26.7,17.3,35.6,28.3,30.8,48,61.6,20.9,27.8,44.8,32.2,32.1,40
114,17.6,15.6,14.8,37.6,20.2,30.6,20.2,42.9,33.2,36.5,58.4,81,23.8,32.2,57.4,38.7,42.1,49.5
115,17.2,15.2,14.4,37.4,20.1,29.9,19.7,41.5,32.3,35.4,56.5,77.2,23.3,31.4,55,37.5,40.2,47.7
116,17.8,15.7,14.9,37.7,20.3,30.9,20.5,43.5,33.6,37,59.4,82.8,24.1,32.6,58.6,39.3,43.1,50.4
117,12.5,10.6,10.5,34.3,18.2,21.4,13.4,26.3,21.7,23.4,34.8,39.3,16.8,21.9,29.7,23.9,20.6,28.2
118,15.3,13.3,12.8,36.2,19.4,26.4,17,35,27.9,30.4,47.2,60,20.6,27.5,43.7,31.7,31.3,39.2
119,14.1,12.2,11.9,35.4,18.9,24.3,15.5,31.3,25.3,27.4,41.8,50.7,19,25.1,37.5,28.3,26.5,34.4
120,15.3,13.3,12.8,36.2,19.4,26.4,17,35,27.9,30.4,47.2,60,20.6,27.5,43.7,31.7,31.3,39.2
121,15.7,13.7,13.2,36.5,19.5,27.2,17.7,36.5,28.9,31.5,49.3,63.9,21.3,28.4,46.3,33,33.3,41.1
122,15.6,13.6,13.1,36.4,19.5,26.9,17.5,36.1,28.6,31.2,48.7,62.7,21.1,28.1,45.5,32.6,32.7,40.6
123,15.2,13.2,12.8,36.2,19.3,26.2,16.9,34.8,27.7,30.1,46.8,59.4,20.5,27.3,43.3,31.4,31,38.9
124,15.9,13.9,13.4,36.6,19.6,27.5,17.9,37.1,29.3,32,50.1,65.3,21.5,28.7,47.2,33.5,34,41.9
125,14.8,12.8,12.4,35.9,19.2,25.5,16.4,33.4,26.8,29.1,44.9,56,20,26.5,41.1,30.2,29.2,37.1
126,17.9,15.9,15.1,37.8,20.3,31.3,20.7,44.2,34.1,37.5,60.3,84.6,24.3,33,59.8,39.8,44,51.2
127,15.6,13.7,13.2,36.4,19.5,27,17.5,36.3,28.7,31.3,48.9,63.2,21.2,28.2,45.8,32.8,33,40.8
128,12.9,11,10.9,34.6,18.4,22.1,13.9,27.6,22.6,24.4,36.6,42.1,17.4,22.7,31.7,25,22.1,29.7
129,16.7,14.7,14.1,37.1,19.9,29,19,39.9,31.2,34.2,54.2,72.8,22.7,30.4,52.1,36,37.9,45.6
130,13.7,11.7,11.5,35.1,18.7,23.4,14.9,29.8,24.2,26.2,39.8,47.3,18.4,24.2,35.2,27,24.8,32.6
131,13,11.1,10.9,34.6,18.4,22.2,14,27.7,22.7,24.5,36.8,42.4,17.5,22.8,31.9,25.1,22.2,29.9
132,22.4,20.4,18.8,40.1,21.7,39.5,27.1,60.7,44.9,50.1,84.5,135.5,30.5,42.4,91.7,54.6,70.2,73.9
133,16.4,14.4,13.8,36.9,19.8,28.4,18.6,38.7,30.4,33.3,52.5,69.7,22.2,29.7,50.1,35,36.3,44.1
134,15,13.1,12.6,36.1,19.3,25.9,16.7,34.3,27.3,29.7,46.1,58.1,20.3,27,42.4,31,30.3,38.2
135,,,,,,,,,,,,,,,,,,
136,18.7,16.7,15.7,38.3,20.6,32.7,21.8,47,36,39.6,64.4,92.7,25.4,34.6,64.9,42.3,48.2,55
137,17.2,15.2,14.5,37.4,20.1,29.9,19.7,41.6,32.4,35.5,56.6,77.5,23.3,31.5,55.2,37.6,40.3,47.8
138,15.7,13.7,13.2,36.5,19.5,27.2,17.7,36.5,28.9,31.5,49.3,63.9,21.3,28.4,46.3,33,33.3,41.1
139,17.7,15.7,14.8,37.7,20.2,30.8,20.3,43.2,33.4,36.7,58.9,81.9,24,32.4,58,39,42.6,49.9
140,16.4,14.4,13.8,36.9,19.8,28.5,18.6,38.8,30.5,33.4,52.6,70,22.2,29.8,50.3,35.1,36.5,44.2
141,17.6,15.6,14.8,37.6,20.2,30.7,20.3,43.1,33.4,36.6,58.7,81.6,23.9,32.3,57.8,38.9,42.4,49.8
142,17.6,15.6,14.8,37.6,20.2,30.6,20.2,42.9,33.2,36.5,58.4,81,23.8,32.2,57.4,38.7,42.1,49.5
143,21.3,19.3,17.9,39.6,21.4,37.5,25.6,56.6,42.3,47,78.5,122.3,29.1,40.2,83.6,51,63.4,68.3
144,,,,,,,,,,,,,,,,,,
145,14.4,12.4,12.1,35.6,19,24.7,15.8,32.1,25.9,28.1,43,52.8,19.4,25.6,38.9,29.1,27.6,35.5
146,16.6,14.6,14,37,19.9,28.8,18.9,39.5,31,33.9,53.6,71.8,22.5,30.2,51.5,35.7,37.4,45.1
147,18.8,16.8,15.8,38.3,20.6,32.9,22,47.3,36.2,39.9,64.9,93.7,25.6,34.8,65.6,42.7,48.7,55.5
148,18.9,16.9,15.9,38.4,20.7,33.1,22.2,47.8,36.5,40.3,65.6,95.1,25.7,35.1,66.5,43.1,49.4,56.1
149,17.8,15.7,14.9,37.7,20.3,30.9,20.5,43.5,33.6,37,59.4,82.8,24.1,32.6,58.6,39.3,43.1,50.4
150,12,10.2,10.1,33.9,18,20.5,12.7,24.8,20.6,22.2,32.7,36,16.1,20.9,27.5,22.5,18.9,26.3
